('WHEN', 'WRB')
('house', 'NN')
('close', 'JJ')
('docks', 'NNS')
(',', ',')
('looked', 'VBD')
('window', 'JJ')
('find', 'NN')
('prows', 'NNS')
(',', ',')
('richly', 'RB')
('laden', 'JJ')
('ships', 'NNS')
(',', ',')
('poked', 'VBD')
('almost', 'RB')
('bedroom', 'NN')
(',', ',')
('liked', 'VBD')
('.', '.')
('Venturesome', 'NNP')
('boys', 'NNS')
('even', 'RB')
('climbed', 'VBD')
('cots', 'NNS')
('bowsprits', 'NNS')
(',', ',')
('deck', 'NN')
('fathers', 'NNS')
("'", 'POS')
('vessels', 'NNS')
('.', '.')
('Of', 'IN')
('sons', 'NNS')
(',', ',')
('fathers', 'NNS')
('proud', 'VBP')
(',', ',')
('knowing', 'VBG')
('would', 'MD')
('make', 'VB')
('brave', 'JJ')
('sailors', 'NNS')
('navigate', 'JJ')
('spice', 'JJ')
('ships', 'NNS')
('Indies', 'NNS')
('.', '.')
('It', 'PRP')
('brave', 'VBP')
('mariners', 'NNS')
(',', ',')
('Stavoren', 'NNP')
('gained', 'VBD')
('glory', 'NN')
('greatness', 'NN')
(',', ',')
('famed', 'VBN')
('land', 'NN')
('.', '.')
('But', 'CC')
(',', ',')
('within', 'IN')
('short', 'JJ')
('time', 'NN')
(',', ',')
('city', 'NN')
("'s", 'POS')
('renown', 'JJ')
('wealth', 'NN')
('faded', 'VBD')
('like', 'JJ')
('dream', 'NN')
('.', '.')
('By', 'IN')
('degrees', 'NNS')
(',', ',')
('population', 'NN')
('diminished', 'VBD')
(',', ',')
('commerce', 'NN')
('became', 'VBD')
('memory', 'NN')
(',', ',')
('ships', 'JJ')
('curiosity', 'NN')
('.', '.')
('The', 'DT')
('people', 'NNS')
(',', ',')
('left', 'VBD')
(',', ',')
('eat', 'VB')
('rye', 'NN')
('barley', 'NN')
('bread', 'NN')
(',', ',')
('instead', 'RB')
('wheat', 'NN')
('.', '.')
('Floods', 'NNS')
('ruined', 'VBD')
('farmers', 'NNS')
('washed', 'VBD')
('away', 'RB')
('large', 'JJ')
('parts', 'NNS')
('town', 'NN')
(',', ',')
('dykes', 'NNS')
('built', 'VBN')
('save', 'VBP')
('left', 'VBN')
('.', '.')
('More', 'RBR')
('terrible', 'JJ')
(',', ',')
('ocean', 'JJ')
('waves', 'NNS')
('rolled', 'VBD')
('wiped', 'JJ')
('cities', 'NNS')
(',', ',')
('towns', 'NNS')
(',', ',')
('farms', 'NNS')
(',', ',')
('sinking', 'VBG')
('churches', 'NNS')
(',', ',')
('convents', 'NNS')
(',', ',')
('monasteries', 'NNS')
(',', ',')
('warehouses', 'NNS')
(',', ',')
('wharves', 'NNS')
(',', ',')
('docks', 'NNS')
(',', ',')
('one', 'CD')
('common', 'JJ')
('ruin', 'NN')
(',', ',')
('hidden', 'VBN')
('far', 'RB')
('.', '.')
('To', 'TO')
('day', 'NN')
('worthless', 'VB')
('wheat', 'NN')
('patch', 'NN')
(',', ',')
('spoiled', 'VBD')
('Stavoren', 'NNP')
(',', ',')
('called', 'VBD')
("''", "''")
('Vrouwen', 'NNP')
('Zand', 'NNP')
(',', ',')
("''", "''")
('Lady', 'NNP')
("'s", 'POS')
('Sand', 'NNP')
('.', '.')
('Instead', 'RB')
('staff', 'NN')
('life', 'NN')
(',', ',')
('Nature', 'NNP')
('intended', 'VBD')
(',', ',')
('wheat', 'NN')
(',', ',')
('power', 'NN')
('evil', 'NN')
('greater', 'JJR')
('thousand', 'NN')
('wicked', 'VBD')
('fairies', 'NNS')
(',', ',')
('became', 'VBD')
('menace', 'JJ')
('death', 'NN')
('ruin', 'NN')
('rich', 'JJ')
('city', 'NN')
('.', '.')
('No', 'DT')
('wonder', 'NN')
('Dutch', 'NNP')
('proverb', 'NN')
(',', ',')
('might', 'MD')
('thus', 'RB')
('translated', 'VBN')
(':', ':')
('``', '``')
('Peevishness', 'NNP')
('perverts', 'VBZ')
('wheat', 'NN')
('weeds', 'NNS')
('But', 'CC')
('sweet', 'JJ')
('temper', 'JJ')
('turns', 'VBZ')
('field', 'NN')
('gold', 'NN')
('.', '.')
("''", "''")
